"english", "bosnian"
"abandon","napustiti"
"ability","sposobnost"
"able","u stanju"
"abortion","abortus"
"about","oko"
"above","iznad"
"abroad","u inozemstvu"
"absence","odsutnost"
"absolute","apsolutan"
"absolutely","apsolutno"
"absorb","upiti"
"abuse","zlostavljanje"
"academic","akademski"
"accept","prihvatiti"
"access","pristup"
"accident","nesreća"
"accompany","pratiti"
"accomplish","ostvariti"
"according","po, prema, na osnovu"
"account","račun"
"accurate","točan, tačan"
"accuse","optužiti"
"achieve","postići"
"achievement","dostignuće"
"acid","kiselina"
"acknowledge","priznati"
"acquire","steći"
"across","preko"
"act","čin"
"action","radnja"
"active","aktivan"
"activist","aktivista"
"activity","aktivnost"
"actor","glumac"
"actress","glumica"
"actual","stvaran"
"actually","zapravo"
"ad","oglas"
"adapt","prilagoditi"
"add","dodati"
"addition","dodatak"
"additional","dodatni"
"address","adresa"
"adequate","adekvatan"
"adjust","prilagoditi"
"adjustment","podešavanje"
"administration","administracija"
"administrator","administrator"
"admire","diviti se"
"admission","ulaz"
"admit","priznati"
"adolescent","adolescent"
"adopt","posvojiti"
"adult","odrasla osoba"
"advance","napredovati, unaprijediti"
"advanced","napredan"
"advantage","prednost"
"adventure","avantura"
"advertising","avanturistično"
"advice","savjet"
"advise","savjetovati"
"adviser","savjetnik"
"advocate","advokat"
"affair","afera"
"affect","utjecati"
"afford","priustiti"
"afraid","uplašen"
"African","afrikanac"
"African-American","afro-amerikanac"
"after","poslje"
"afternoon","posljepodne"
"again","ponovno"
"against","protiv"
"age","godine"
"agency","agencija"
"agenda","dnevni red"
"agent","agent"
"aggressive","agresivan"
"ago","prije"
"agree","slagati se"
"agreement","dogovor"
"agricultural","poljoprivredni"
"ah","ah"
"ahead","naprijed"
"aid","hitna"
"aide","pomoćnik"
"AIDS","sida"
"aim","cilj"
"air","zrak"
"aircraft","zrakoplov"
"airline","aviokompanija"
"airport","airodrom"
"album","album"
"alcohol","alkohol"
"alive","živ"
"all","sve"
"alliance","savez"
"allow","dopustiti"
"ally","saveznik"
"almost","skoro"
"alone","sam"
